sku_id,product_name,category,sourcing,uom,qty_on_hand,qty_reserved,qty_available,reorder_point,reorder_qty,unit_cost,stock_value,warehouse_location,stock_status,last_movement_date,is_active
ACC-ADP-5V,Power Adapter 5V 2A,ACCESSORY,TRADED,PCS,90,0,90,100,300,95,8550,C-02,LOW_STOCK,2026-06-05,TRUE
ACC-FLT-01,Replacement Filter,ACCESSORY,TRADED,PCS,0,0,0,150,400,45,0,C-04,OUT_OF_STOCK,,TRUE
ACC-MNT-WALL,Wall Mount Bracket,ACCESSORY,TRADED,PCS,260,0,260,80,200,60,15600,C-03,IN_STOCK,2026-06-04,TRUE
ACC-SEN-PM25,PM2.5 Replacement Sensor,ACCESSORY,TRADED,PCS,497,0,497,200,500,280,139160,C-01,IN_STOCK,2026-06-04,TRUE
AQM-LITE-01,AirSense Lite,AQI_MONITOR,MANUFACTURED,PCS,48,0,48,120,200,2100,100800,A-02,LOW_STOCK,2026-06-04,TRUE
AQM-PRO-01,AirSense Pro,AQI_MONITOR,MANUFACTURED,PCS,351,1,350,150,250,3200,1123200,A-01,IN_STOCK,2026-06-05,TRUE
AQM-PRO-02,AirSense Pro Max,AQI_MONITOR,MANUFACTURED,PCS,4,1,3,80,150,3800,15200,A-03,LOW_STOCK,2026-06-02,TRUE
AQM-STD-01,AirSense Standard,AQI_MONITOR,MANUFACTURED,PCS,8,0,8,0,0,2600,20800,A-04,DISCONTINUED,,FALSE
SPK-BT-03,SoundWave Classic,SPEAKER,TRADED,PCS,12,0,12,0,0,700,8400,B-04,DISCONTINUED,,FALSE
SPK-BT-05,SoundWave BT Speaker,SPEAKER,TRADED,PCS,297,0,297,100,300,850,252450,B-01,IN_STOCK,2026-06-05,TRUE
SPK-BT-10,SoundWave Mini,SPEAKER,TRADED,PCS,198,1,197,80,200,620,122760,B-02,IN_STOCK,2026-06-01,TRUE
SPK-SB-02,SoundWave Soundbar,SPEAKER,TRADED,PCS,50,1,49,30,100,2400,120000,B-03,IN_STOCK,2026-06-02,TRUE
