movement_id,movement_date,movement_type,direction,sku_id,product_name,quantity,reference_type,reference_id,handled_by,unit_cost,notes
STM-2026-00001,2026-05-26,PURCHASE_IN,IN,SPK-BT-05,SoundWave BT Speaker,300,PURCHASE_GRN,GRN-2026-0051,EMP-011,850,
STM-2026-00002,2026-05-26,PURCHASE_IN,IN,SPK-BT-10,SoundWave Mini,200,PURCHASE_GRN,GRN-2026-0051,EMP-011,620,
STM-2026-00003,2026-05-27,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,45,PRODUCTION,MDP-2026-0005,EMP-008,3200,
STM-2026-00004,2026-05-28,PURCHASE_IN,IN,ACC-SEN-PM25,PM2.5 Replacement Sensor,500,PURCHASE_GRN,GRN-2026-0053,EMP-011,280,
STM-2026-00005,2026-05-28,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,47,PRODUCTION,MDP-2026-0010,EMP-012,3200,
STM-2026-00006,2026-05-29,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,42,PRODUCTION,MDP-2026-0015,EMP-008,3200,
STM-2026-00007,2026-05-30,SALES_OUT,OUT,AQM-PRO-01,AirSense Pro,1,DISPATCH,ORD-2026-0015,EMP-012,3200,
STM-2026-00008,2026-05-31,ADJUSTMENT_IN,IN,ACC-MNT-WALL,Wall Mount Bracket,3,STOCK_COUNT,SC-2026-05,EMP-012,60,"Cycle count surplus"
STM-2026-00009,2026-06-01,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,47,PRODUCTION,MDP-2026-0022,EMP-008,3200,
STM-2026-00010,2026-06-01,SALES_OUT,OUT,AQM-PRO-01,AirSense Pro,1,DISPATCH,ORD-2026-0001,EMP-012,3200,
STM-2026-00011,2026-06-01,SALES_OUT,OUT,AQM-LITE-01,AirSense Lite,1,DISPATCH,ORD-2026-0002,EMP-012,2100,
STM-2026-00012,2026-06-01,SALES_OUT,OUT,ACC-SEN-PM25,PM2.5 Replacement Sensor,2,DISPATCH,ORD-2026-0002,EMP-012,280,
STM-2026-00013,2026-06-01,SCRAP_OUT,OUT,SPK-BT-10,SoundWave Mini,2,MANUAL,,EMP-012,620,"Damaged in storage, written off"
STM-2026-00014,2026-06-02,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,28,PRODUCTION,MDP-2026-0027,EMP-012,3200,
STM-2026-00015,2026-06-02,SALES_OUT,OUT,AQM-PRO-02,AirSense Pro Max,1,DISPATCH,ORD-2026-0003,EMP-012,3800,
STM-2026-00016,2026-06-02,SALES_OUT,OUT,AQM-PRO-01,AirSense Pro,1,DISPATCH,ORD-2026-0004,EMP-012,3200,
STM-2026-00017,2026-06-02,PURCHASE_IN,IN,SPK-SB-02,SoundWave Soundbar,50,PURCHASE_GRN,GRN-2026-0057,EMP-011,2400,
STM-2026-00018,2026-06-03,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,55,PRODUCTION,MDP-2026-0032,EMP-008,3200,
STM-2026-00019,2026-06-03,SALES_OUT,OUT,AQM-PRO-01,AirSense Pro,2,DISPATCH,ORD-2026-0005,EMP-012,3200,
STM-2026-00020,2026-06-03,SALES_OUT,OUT,ACC-MNT-WALL,Wall Mount Bracket,2,DISPATCH,ORD-2026-0005,EMP-012,60,
STM-2026-00021,2026-06-03,SALES_OUT,OUT,SPK-BT-05,SoundWave BT Speaker,1,DISPATCH,ORD-2026-0006,EMP-012,850,
STM-2026-00022,2026-06-04,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,46,PRODUCTION,MDP-2026-0037,EMP-008,3200,
STM-2026-00023,2026-06-04,SALES_OUT,OUT,AQM-PRO-01,AirSense Pro,1,DISPATCH,ORD-2026-0007,EMP-012,3200,
STM-2026-00024,2026-06-04,SALES_OUT,OUT,AQM-LITE-01,AirSense Lite,1,DISPATCH,ORD-2026-0008,EMP-012,2100,
STM-2026-00025,2026-06-04,SALES_OUT,OUT,AQM-PRO-01,AirSense Pro,1,DISPATCH,ORD-2026-0016,EMP-012,3200,
STM-2026-00026,2026-06-04,SALES_OUT,OUT,ACC-SEN-PM25,PM2.5 Replacement Sensor,1,DISPATCH,ORD-2026-0016,EMP-012,280,
STM-2026-00027,2026-06-04,SALES_OUT,OUT,ACC-MNT-WALL,Wall Mount Bracket,1,DISPATCH,ORD-2026-0016,EMP-012,60,
STM-2026-00028,2026-06-05,PRODUCTION_IN,IN,AQM-PRO-01,AirSense Pro,47,PRODUCTION,MDP-2026-0042,EMP-012,3200,
STM-2026-00029,2026-06-05,SALES_OUT,OUT,SPK-BT-05,SoundWave BT Speaker,2,DISPATCH,ORD-2026-0017,EMP-012,850,
STM-2026-00030,2026-06-05,SALES_RETURN_IN,IN,AQM-PRO-01,AirSense Pro,1,SALES_RETURN,RMA-2026-0007,EMP-012,3200,"Return restocked, ref ORD-2026-0015"
STM-2026-00031,2026-06-05,ADJUSTMENT_OUT,OUT,ACC-ADP-5V,Power Adapter 5V 2A,2,STOCK_COUNT,SC-2026-06,EMP-012,95,"Cycle count shortage"
