sku_id,product_name,category,sourcing,uom,qty_on_hand,qty_reserved,qty_available,reorder_point,reorder_qty,unit_cost,stock_value,warehouse_location,stock_status,last_movement_date,is_active
AQM-PRO-01,AirSense Pro,AQI_MONITOR,MANUFACTURED,PCS,340,60,280,150,250,3200,1088000,A-01,IN_STOCK,2026-06-05,TRUE
AQM-LITE-01,AirSense Lite,AQI_MONITOR,MANUFACTURED,PCS,120,20,100,120,200,2100,252000,A-02,LOW_STOCK,2026-06-04,TRUE
AQM-PRO-02,AirSense Pro Max,AQI_MONITOR,MANUFACTURED,PCS,0,0,0,80,150,3800,0,A-03,OUT_OF_STOCK,2026-05-20,TRUE
SPK-BT-05,SoundWave BT Speaker,SPEAKER,TRADED,PCS,210,30,180,100,300,850,178500,B-01,IN_STOCK,2026-06-03,TRUE
SPK-BT-10,SoundWave Mini,SPEAKER,TRADED,PCS,75,15,60,80,200,620,46500,B-02,LOW_STOCK,2026-06-02,TRUE
SPK-SB-02,SoundWave Soundbar,SPEAKER,TRADED,PCS,40,5,35,30,100,2400,96000,B-03,IN_STOCK,2026-06-01,TRUE
ACC-SEN-PM25,PM2.5 Replacement Sensor,ACCESSORY,TRADED,PCS,500,120,380,200,500,280,140000,C-01,IN_STOCK,2026-06-05,TRUE
ACC-ADP-5V,Power Adapter 5V 2A,ACCESSORY,TRADED,PCS,90,10,80,100,300,95,8550,C-02,LOW_STOCK,2026-06-04,TRUE
ACC-MNT-WALL,Wall Mount Bracket,ACCESSORY,TRADED,PCS,260,0,260,80,200,60,15600,C-03,IN_STOCK,2026-05-28,TRUE
ACC-FLT-01,Replacement Filter,ACCESSORY,TRADED,PCS,0,0,0,150,400,45,0,C-04,OUT_OF_STOCK,2026-05-30,TRUE
SPK-BT-03,SoundWave Classic,SPEAKER,TRADED,PCS,12,0,12,0,0,700,8400,B-04,DISCONTINUED,2026-04-15,FALSE
AQM-STD-01,AirSense Standard,AQI_MONITOR,MANUFACTURED,PCS,8,0,8,0,0,2600,20800,A-04,DISCONTINUED,2026-03-10,FALSE
