perf_id,date,campaign_id,utm_campaign,platform,ad_set,spend,impressions,clicks,conversions,conversion_value,notes
ADP-2026-00001,2026-05-01,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,404,1079,41,0,0,
ADP-2026-00002,2026-05-01,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,583,1666,20,1,4999,
ADP-2026-00003,2026-05-01,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,257,857,10,0,0,
ADP-2026-00004,2026-05-01,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,253,1054,18,1,4999,
ADP-2026-00005,2026-05-02,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,291,737,28,0,0,
ADP-2026-00006,2026-05-02,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,485,1386,18,1,4999,
ADP-2026-00007,2026-05-02,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,232,773,8,0,0,
ADP-2026-00008,2026-05-02,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,196,817,14,0,0,
ADP-2026-00009,2026-05-03,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,329,789,30,1,4999,
ADP-2026-00010,2026-05-03,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,492,1406,21,0,0,
ADP-2026-00011,2026-05-03,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,258,860,11,0,0,
ADP-2026-00012,2026-05-03,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,224,933,16,1,4999,
ADP-2026-00013,2026-05-04,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,395,1184,45,1,4999,
ADP-2026-00014,2026-05-04,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,514,1469,19,1,4999,
ADP-2026-00015,2026-05-04,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,268,893,12,0,0,
ADP-2026-00016,2026-05-04,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,234,975,21,1,4999,
ADP-2026-00017,2026-05-05,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,412,1053,40,1,9998,
ADP-2026-00018,2026-05-05,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,626,1789,26,1,4999,
ADP-2026-00019,2026-05-05,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,271,903,10,1,4999,
ADP-2026-00020,2026-05-05,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,242,1008,21,0,0,
ADP-2026-00021,2026-05-06,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,389,1211,46,0,0,
ADP-2026-00022,2026-05-06,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,617,1763,24,1,4999,
ADP-2026-00023,2026-05-06,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,307,1023,12,0,0,
ADP-2026-00024,2026-05-06,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,253,1054,18,1,9998,
ADP-2026-00025,2026-05-07,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,374,895,34,1,4999,
ADP-2026-00026,2026-05-07,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,581,1660,25,1,9998,
ADP-2026-00027,2026-05-07,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,305,1017,10,0,0,
ADP-2026-00028,2026-05-07,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,255,1062,20,0,0,
ADP-2026-00029,2026-05-08,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,415,1289,49,0,0,
ADP-2026-00030,2026-05-08,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,518,1480,20,1,4999,
ADP-2026-00031,2026-05-08,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,263,877,12,0,0,
ADP-2026-00032,2026-05-08,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,260,1083,22,1,4999,
ADP-2026-00033,2026-05-09,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,291,895,34,1,4999,
ADP-2026-00034,2026-05-09,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,485,1386,21,0,0,
ADP-2026-00035,2026-05-09,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,260,867,11,0,0,
ADP-2026-00036,2026-05-09,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,232,967,22,1,4999,
ADP-2026-00037,2026-05-10,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,300,868,33,0,0,
ADP-2026-00038,2026-05-10,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,436,1246,19,0,0,
ADP-2026-00039,2026-05-10,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,228,760,10,0,0,
ADP-2026-00040,2026-05-10,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,216,900,19,1,4999,
ADP-2026-00041,2026-05-11,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,352,1105,42,1,4999,
ADP-2026-00042,2026-05-11,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,627,1791,26,1,4999,
ADP-2026-00043,2026-05-11,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,266,887,10,1,4999,
ADP-2026-00044,2026-05-11,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,275,1146,25,1,4999,
ADP-2026-00045,2026-05-12,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,390,1132,43,0,0,
ADP-2026-00046,2026-05-12,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,586,1674,21,1,4999,
ADP-2026-00047,2026-05-12,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,302,1007,11,1,4999,
ADP-2026-00048,2026-05-12,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,251,1046,22,0,0,
ADP-2026-00049,2026-05-13,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,414,1289,49,1,4999,
ADP-2026-00050,2026-05-13,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,625,1786,22,1,4999,
ADP-2026-00051,2026-05-13,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,278,927,10,0,0,
ADP-2026-00052,2026-05-13,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,249,1038,23,0,0,
ADP-2026-00053,2026-05-14,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,423,1026,39,0,0,
ADP-2026-00054,2026-05-14,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,510,1457,23,0,0,
ADP-2026-00055,2026-05-14,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,262,873,10,0,0,
ADP-2026-00056,2026-05-14,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,228,950,18,0,0,
ADP-2026-00057,2026-05-15,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,422,1000,38,1,4999,
ADP-2026-00058,2026-05-15,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,537,1534,23,1,4999,
ADP-2026-00059,2026-05-15,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,262,873,10,0,0,
ADP-2026-00060,2026-05-15,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,255,1062,23,1,4999,
ADP-2026-00061,2026-05-16,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,296,947,36,0,0,
ADP-2026-00062,2026-05-16,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,481,1374,21,1,4999,
ADP-2026-00063,2026-05-16,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,250,833,9,1,4999,
ADP-2026-00064,2026-05-16,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,219,912,19,0,0,
ADP-2026-00065,2026-05-17,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,305,789,30,1,4999,
ADP-2026-00066,2026-05-17,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,490,1400,20,0,0,
ADP-2026-00067,2026-05-17,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,249,830,9,0,0,
ADP-2026-00068,2026-05-17,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,195,812,16,0,0,
ADP-2026-00069,2026-05-18,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,420,1053,40,0,0,
ADP-2026-00070,2026-05-18,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,627,1791,22,1,4999,
ADP-2026-00071,2026-05-18,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,275,917,10,0,0,
ADP-2026-00072,2026-05-18,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,259,1079,25,0,0,
ADP-2026-00073,2026-05-19,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,420,1395,53,1,9998,
ADP-2026-00074,2026-05-19,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,505,1443,22,1,4999,
ADP-2026-00075,2026-05-19,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,286,953,11,0,0,
ADP-2026-00076,2026-05-19,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,236,983,20,1,4999,
ADP-2026-00077,2026-05-20,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,365,1289,49,0,0,
ADP-2026-00078,2026-05-20,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,616,1760,27,1,4999,
ADP-2026-00079,2026-05-20,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,291,970,11,0,0,
ADP-2026-00080,2026-05-20,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,249,1038,18,1,4999,
ADP-2026-00081,2026-05-21,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,391,1289,49,1,4999,
ADP-2026-00082,2026-05-21,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,615,1757,25,0,0,
ADP-2026-00083,2026-05-21,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,307,1023,13,0,0,
ADP-2026-00084,2026-05-21,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,237,988,18,1,4999,
ADP-2026-00085,2026-05-22,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,420,1053,40,0,0,
ADP-2026-00086,2026-05-22,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,613,1751,24,1,9998,
ADP-2026-00087,2026-05-22,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,302,1007,13,1,4999,
ADP-2026-00088,2026-05-22,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,276,1150,25,0,0,
ADP-2026-00089,2026-05-23,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,298,737,28,0,0,
ADP-2026-00090,2026-05-23,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,513,1466,19,0,0,
ADP-2026-00091,2026-05-23,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,226,753,10,0,0,
ADP-2026-00092,2026-05-23,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,228,950,17,1,4999,
ADP-2026-00093,2026-05-24,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,311,842,32,0,0,
ADP-2026-00094,2026-05-24,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,463,1323,21,0,0,
ADP-2026-00095,2026-05-24,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,266,887,11,0,0,
ADP-2026-00096,2026-05-24,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,237,988,18,0,0,
ADP-2026-00097,2026-05-25,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,368,1000,38,1,4999,
ADP-2026-00098,2026-05-25,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,537,1534,19,1,4999,
ADP-2026-00099,2026-05-25,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,288,960,11,0,0,
ADP-2026-00100,2026-05-25,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,276,1150,23,0,0,
ADP-2026-00101,2026-05-26,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,398,1211,46,1,4999,
ADP-2026-00102,2026-05-26,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,595,1700,25,1,9998,
ADP-2026-00103,2026-05-26,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,296,987,11,0,0,
ADP-2026-00104,2026-05-26,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,247,1029,19,1,4999,
ADP-2026-00105,2026-05-27,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,393,1211,46,1,9998,
ADP-2026-00106,2026-05-27,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,620,1771,26,0,0,
ADP-2026-00107,2026-05-27,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,270,900,11,0,0,
ADP-2026-00108,2026-05-27,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,251,1046,21,1,4999,
ADP-2026-00109,2026-05-28,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,385,1053,40,1,4999,
ADP-2026-00110,2026-05-28,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,615,1757,27,1,9998,
ADP-2026-00111,2026-05-28,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,298,993,13,0,0,
ADP-2026-00112,2026-05-28,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,226,942,17,0,0,
ADP-2026-00113,2026-05-29,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,358,947,36,1,4999,
ADP-2026-00114,2026-05-29,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,609,1740,21,1,4999,
ADP-2026-00115,2026-05-29,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,292,973,10,0,0,
ADP-2026-00116,2026-05-29,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,231,962,19,1,4999,
ADP-2026-00117,2026-05-30,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,323,816,31,0,0,
ADP-2026-00118,2026-05-30,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,483,1380,17,1,4999,
ADP-2026-00119,2026-05-30,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,266,887,11,0,0,
ADP-2026-00120,2026-05-30,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,220,917,20,0,0,
ADP-2026-00121,2026-05-31,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,344,1000,38,1,4999,
ADP-2026-00122,2026-05-31,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,515,1471,21,0,0,
ADP-2026-00123,2026-05-31,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,248,827,11,0,0,
ADP-2026-00124,2026-05-31,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,204,850,15,1,4999,
ADP-2026-00125,2026-06-01,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,400,1053,40,1,4999,
ADP-2026-00126,2026-06-01,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,543,1551,22,1,4999,
ADP-2026-00127,2026-06-01,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,285,950,11,0,0,
ADP-2026-00128,2026-06-01,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,275,1146,23,0,0,
ADP-2026-00129,2026-06-02,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,371,974,37,0,0,
ADP-2026-00130,2026-06-02,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,610,1743,26,1,9998,
ADP-2026-00131,2026-06-02,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,311,1037,12,0,0,
ADP-2026-00132,2026-06-02,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,258,1075,20,1,4999,
ADP-2026-00133,2026-06-03,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,356,1026,39,1,4999,
ADP-2026-00134,2026-06-03,CMP-2026-001,always-on-conversions-2026,META,battery-life-a,508,1451,19,1,4999,
ADP-2026-00135,2026-06-03,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,254,847,10,0,0,
ADP-2026-00136,2026-06-03,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,260,1083,19,0,0,
ADP-2026-00137,2026-06-04,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,406,1211,46,1,4999,
ADP-2026-00138,2026-06-04,CMP-2026-001,always-on-conversions-2026,META,battery-life-b,510,1457,20,1,4999,
ADP-2026-00139,2026-06-04,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-b,268,893,9,1,4999,
ADP-2026-00140,2026-06-04,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,244,1017,21,0,0,
ADP-2026-00141,2026-06-05,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-aqi-monitor,359,1237,47,1,9998,
ADP-2026-00142,2026-06-05,CMP-2026-001,always-on-conversions-2026,META,display-clarity-a,584,1669,25,0,0,
ADP-2026-00143,2026-06-05,CMP-2026-002,desk-upgrade-awareness-2026,META,desk-aesthetic-a,293,977,12,0,0,
ADP-2026-00144,2026-06-05,CMP-2026-003,amazon-sponsored-2026,AMAZON,sp-aqm-pro,267,1112,20,0,0,
ADP-2026-00145,2026-06-06,CMP-2026-001,always-on-conversions-2026,GOOGLE,search-brand,359,1211,46,1,4999,
